team_name,region
123,Europe
AUSTRIAN FORCE,Europe
BONK!,Europe
BRAVE ESPORTS,Europe
CHIPPY CHIPS,Europe
CLOUD ESPORT,Europe
DANGEROUS ESPORTS CLUB,Europe
DYNASTY,Europe
ENDPOINT CEX,Europe
ENISORAIL,Europe
ESPORT BERG,Europe
GAMEWARD,Europe
GEEKAY ESPORTS,Europe
GENTLE MATES,Europe
GHT,Europe
GODALIONS,Europe
GRIDDYGOOSE,Europe
KALOGERAS,Europe
KARMINE CORP,Europe
KAYDOP CORP,Europe
KUXIR'S MINIONS,Europe
L'ANTIQUE ESPORT,Europe
LENOVO LEGION HONVÉD,Europe
MAGNIFICO,Europe
MAN CITY ESPORTS,Europe
MINKZ,Europe
MOREKATS GAMING,Europe
MTK BUDAPEST,Europe
MYINSANITY,Europe
NINJAS IN PYJAMAS,Europe
NOVO ESPORTS,Europe
NXT,Europe
OGC FC,Europe
ROTARYON ESPORTS,Europe
SENTIENT ESPORTS,Europe
SENZA ESPORTS,Europe
STR1VE ESPORTS,Europe
SYNERGY,Europe
TEAM BSK,Europe
TEAM VITALITY,Europe
THE LAST LAST DANCE,Europe
THE RAZZLE DAZZLERS,Europe
VANIRQUICK,Europe
VISIONGAMING,Europe
WASHED UP BOYS,Europe
WIP ESPORTS,Europe
WOOKA ESPORT,Europe
WYLDE,Europe
YOUNG MONEY CLAN,Europe
ÞÓR,Europe
1,North America
12 BRICKS,North America
445,North America
72PC,North America
COLD,North America
DELETED GAMING,North America
DIGNITAS,North America
DOODLE BANGERS,North America
EMPTY SPACE,North America
FELLAS,North America
FLASHES OF BRILLIANCE,North America
FUT ESPORTS,North America
G.A.S.,North America
GEN.G MOBIL1 RACING,North America
GEN.G MOBIL1 RACING BLACK,North America
IZ IM DREAMIN,North America
KRAKENSEAS,North America
LIL STEP BROS,North America
LOTUS 8 ESPORTS,North America
M80,North America
MEXACLICA,North America
NEXT2NU ESPORTS,North America
NORMS,North America
NRG,North America
NTX ESPORTS,North America
REVELATION,North America
SHMOO,North America
SHOPIFY REBELLION,North America
SHUFFLE'S KITTENS,North America
SOINSANEGAMING,North America
SPACESTATION GAMING,North America
STRICTLY BUSINESS,North America
STROMBOLI,North America
TEAM SILENCED,North America
UNREAL NIGHTMARE,North America
VIRTUS.PRO,North America
WOO,North America
YAPVILLE,North America
ZOOKEEPERS,North America
ATE,Oceania
CANTERBURY-BANKSTOWN BULLDOGS,Oceania
FIZ6 GAMING,Oceania
HEARTLESS ESPORTS,Oceania
NERVE,Oceania
PWR,Oceania
TAKE FLYTE,Oceania
TEAM ABYSSAL,Oceania
THAT'S CRAZY,Oceania
WILDCARD,Oceania
YOU NOT A CHAMP. YOU A CLOWN.,Oceania
25 SHOT CLUB,South America
BIGODES,South America
BS+COMPETITION,South America
CHROMAX,South America
DREAM ESPORTS,South America
EMERALD,South America
ENOSIS ESPORTS,South America
FEAR OF GOD,South America
FURIA,South America
LOTUS ESPORTS,South America
MIBR,South America
NOPLANB,South America
NOVADRIFT,South America
NUTORIOUS,South America
OVERLOOKED,South America
SANIFICADOS,South America
SUNSET,South America
ALYOM W ANA B ALSH8L,MENA
BURIED,MENA
ESPADA,MENA
F16 ESPORTS,MENA
FEARLESS,MENA
INFAMOUS,MENA
JOGA BONITO,MENA
MMT,MENA
NOTHING,MENA
NOVA ESPORTS,MENA
R8 ESPORTS,MENA
RURAL,MENA
SLEEPING,MENA
TEAM FALCONS,MENA
TEAM VISION,MENA
TWISTED MINDS,MENA
3RATS,Asia-Pacific
GOD SPEED,Asia-Pacific
JUNGLE JUICERS,Asia-Pacific
KINOTROPE GAMING,Asia-Pacific
NORTHSTAR,Asia-Pacific
PINEAPPLE CAKE,Asia-Pacific
TSM,Asia-Pacific
ZEN ESPORTS,Asia-Pacific
77BLOCKS,Sub-Saharan Africa
AKIMBO ESPORTS,Sub-Saharan Africa
ASTRONIC ESPORTS,Sub-Saharan Africa
BTF ESPORTS,Sub-Saharan Africa
DEATH CLOUD ESPORTS,Sub-Saharan Africa
FIVE FEARS,Sub-Saharan Africa
LOOKING FOR ORGANIZATION,Sub-Saharan Africa
PIONEERS,Sub-Saharan Africa
ROUNDS,Sub-Saharan Africa
SYNTHESIS,Sub-Saharan Africa
TEAM FLOEPPA,Sub-Saharan Africa
TEAM HSK,Sub-Saharan Africa
THE PUNISHERS,Sub-Saharan Africa
UNITY,Sub-Saharan Africa
WHITE RABBIT GAMING,Sub-Saharan Africa
